x,y,z,value1,value2,value3    
20,10,0,-0.235944E+00,0.000000E+00,0.000000E+00
21,10,0,-0.172525E+00,0.398325E-01,0.202895E-01
22,10,0,-0.163098E+00,0.000000E+00,0.375396E-01
23,10,0,-0.148053E+00,0.000000E+00,0.754886E-02
24,10,0,-0.159416E+00,0.000000E+00,0.227346E-01
25,10,0,-0.164215E+00,0.000000E+00,0.145854E-01
26,10,0,-0.181100E+00,0.000000E+00,0.269399E-01
27,10,0,-0.196337E+00,0.000000E+00,0.234890E-01
0,11,0,-0.200563E+00,0.000000E+00,0.246034E-01
1,11,0,-0.264188E+00,0.340652E-02,0.679471E-01
2,11,0,-0.386085E+00,0.000000E+00,0.924721E-01
3,11,0,-0.616088E+00,0.000000E+00,0.411365E-01
4,11,0,-0.864625E+00,0.000000E+00,0.334101E-01
5,11,0,-0.103776E+01,0.000000E+00,0.328411E-01
6,11,0,-0.108031E+01,0.000000E+00,0.330438E-01
7,11,0,-0.990283E+00,0.000000E+00,0.329692E-01
8,11,0,-0.784088E+00,0.000000E+00,0.354121E-01
9,11,0,-0.530746E+00,0.000000E+00,0.545154E-01
10,11,0,-0.338940E+00,0.000000E+00,0.110160E-02
11,11,0,-0.241090E+00,0.915654E-01,0.229381E-01
12,11,0,-0.262387E+00,0.149557E+00,0.700412E-01
13,11,0,-0.288813E+00,0.351630E-01,0.481155E-01
14,11,0,-0.319202E+00,0.259298E-01,0.442983E-02
15,11,0,-0.346082E+00,0.908162E-01,0.117110E+00
16,11,0,-0.355924E+00,0.119330E+00,0.119262E+00
17,11,0,-0.335492E+00,0.121434E+00,0.105246E+00
18,11,0,-0.318643E+00,0.106030E+00,0.992839E-01
19,11,0,-0.251545E+00,0.513627E-01,0.785475E-01
20,11,0,-0.217683E+00,0.890947E-01,0.709927E-01
21,11,0,-0.197866E+00,0.000000E+00,0.000000E+00
22,11,0,-0.149781E+00,0.680013E-02,0.884571E-02
23,11,0,-0.136793E+00,0.898516E-02,0.444493E-01
24,11,0,-0.131785E+00,0.886845E-02,0.833063E-02
25,11,0,-0.140556E+00,0.275769E-01,0.125225E-01
26,11,0,-0.154036E+00,0.135146E-01,0.119097E-01
27,11,0,-0.169387E+00,0.169174E-01,0.948317E-01
0,12,0,-0.168709E+00,0.274694E-01,0.799589E-01
1,12,0,-0.197536E+00,0.167738E+00,0.228780E-01
2,12,0,-0.263142E+00,0.429908E-02,0.224164E-01
3,12,0,-0.365817E+00,0.000000E+00,0.850749E-01
4,12,0,-0.542112E+00,0.000000E+00,0.540888E-01
5,12,0,-0.718039E+00,0.000000E+00,0.360546E-01
6,12,0,-0.818808E+00,0.000000E+00,0.339981E-01
7,12,0,-0.805042E+00,0.000000E+00,0.350147E-01
8,12,0,-0.681068E+00,0.000000E+00,0.415712E-01
9,12,0,-0.504020E+00,0.000000E+00,0.599188E-01
10,12,0,-0.343095E+00,0.000000E+00,0.109683E-02
