x,y,z,water,no3,na
4.677419,1.290323,0.000000,18.69670840,0.00354267,-0.00028311
4.838710,1.290323,0.000000,18.64222700,0.00346528,-0.00028593
5.000000,1.290323,0.000000,16.86125464,0.00295340,-0.00037988
0.000000,1.451613,0.000000,18.07665565,0.00330560,-0.00022147
0.161290,1.451613,0.000000,18.25653931,0.00338418,-0.00016274
0.322581,1.451613,0.000000,18.12359338,0.00333853,-0.00016632
0.483871,1.451613,0.000000,18.10568657,0.00338466,-0.00017092
0.645161,1.451613,0.000000,18.19282091,0.00340798,-0.00017442
0.806452,1.451613,0.000000,18.48372268,0.00345446,-0.00018105
0.967742,1.451613,0.000000,18.86940034,0.00367655,-0.00018764
1.129032,1.451613,0.000000,18.96459401,0.00348136,-0.00019757
1.290323,1.451613,0.000000,19.16072275,0.00359599,-0.00019954
1.451613,1.451613,0.000000,18.69670840,0.00354894,-0.00020116
1.612903,1.451613,0.000000,18.64222700,0.00358089,-0.00020448
1.774194,1.451613,0.000000,18.40445178,0.00343573,-0.00020826
1.935484,1.451613,0.000000,18.31946046,0.00344352,-0.00021269
2.096774,1.451613,0.000000,18.28356042,0.00343890,-0.00021564
2.258065,1.451613,0.000000,18.66217249,0.00351543,-0.00022332
2.419355,1.451613,0.000000,18.88155144,0.00369104,-0.00022943
2.580645,1.451613,0.000000,18.96459401,0.00348998,-0.00024064
2.741935,1.451613,0.000000,19.16072275,0.00360469,-0.00024211
2.903226,1.451613,0.000000,18.69670840,0.00355754,-0.00024313
3.064516,1.451613,0.000000,18.64222700,0.00358955,-0.00024615
3.225806,1.451613,0.000000,18.40445178,0.00344403,-0.00024965
3.387097,1.451613,0.000000,18.31946046,0.00345180,-0.00025388
3.548387,1.451613,0.000000,18.28356042,0.00344712,-0.00025627
3.709677,1.451613,0.000000,18.66217249,0.00352377,-0.00026421
3.870968,1.451613,0.000000,18.88155144,0.00369972,-0.00027018
4.032258,1.451613,0.000000,18.96459401,0.00349807,-0.00028203
4.193548,1.451613,0.000000,19.16072275,0.00361295,-0.00028237
4.354839,1.451613,0.000000,18.69670840,0.00356554,-0.00028215
4.516129,1.451613,0.000000,18.64222700,0.00359749,-0.00028420
4.677419,1.451613,0.000000,18.40445178,0.00343410,-0.00028795
4.838710,1.451613,0.000000,18.31946046,0.00334314,-0.00029250
5.000000,1.451613,0.000000,16.82515758,0.00293251,-0.00039055
0.000000,1.612903,0.000000,17.87570219,0.00323673,-0.00022439
0.161290,1.612903,0.000000,17.98551093,0.00328199,-0.00016544
